_id,stockTicker,stockName,currentPrice,marketCap,sector
39,ACLS,"Axcelis Technologies, Inc.",26.35,827736976.8,Technology
40,ACMR,"ACM Research, Inc.",6,92071704,Technology
41,ACNB,ACNB Corporation,30.3,212695243.5,Finance
42,ACOR,"Acorda Therapeutics, Inc.",26.25,1227113107.5,Health Care
43,ACRS,"Aclaris Therapeutics, Inc.",22.09,681138059.11,Health Care
44,ACRX,"AcelRx Pharmaceuticals, Inc.",1.95,98159858.55,Health Care
45,ACSF,"American Capital Senior Floating, Ltd.",10.8761,108762087.61,n/a
46,ACST,"Acasti Pharma, Inc.",1.07,26577121.17,Health Care
47,ACT,AdvisorShares Vice ETF,26.62,15972000,n/a
48,ACTA,Actua Corporation,15.55,508832542.5,Technology
49,ACTG,Acacia Research Corporation,3.7,187237693.4,Miscellaneous
50,ACWI,iShares MSCI ACWI Index Fund,76.15,9077080000,n/a
51,ACWX,iShares MSCI ACWI ex US Index Fund,52.69,3445926000,n/a
52,ACXM,Acxiom Corporation,27.16,2147408550.56,Technology
53,ADAP,Adaptimmune Therapeutics plc,8.75,511340935,Health Care
54,ADBE,Adobe Systems Incorporated,199.38,98010927112.02,Technology
55,ADES,"Advanced Emissions Solutions, Inc.",7.79,164286971.3,Basic Industries
56,ADI,"Analog Devices, Inc.",91.65,34159709455.95,Technology
57,ADMA,ADMA Biologics Inc,3.78,171296971.02,Health Care
58,ADMP,Adamis Pharmaceuticals Corporation,3.6,120193135.2,Health Care
59,ADMS,"Adamas Pharmaceuticals, Inc.",38.44,875620147.2,Health Care
60,ADOM,"ADOMANI, Inc.",1.75,125540794.75,Capital Goods
61,ADP,"Automatic Data Processing, Inc.",120.42,53405033286.6,Technology
62,ADRA,BLDRS Asia 50 ADR Index Fund,37.1042,24117730,n/a
63,ADRD,BLDRS Developed Markets 100 ADR Index Fund,24.7216,74164800,n/a
64,ADRE,BLDRS Emerging Markets 50 ADR Index Fund,47.61,183298500,n/a
65,ADRO,"Aduro Biotech, Inc.",6.25,483147906.25,Health Care
66,ADRU,BLDRS Europe 100 ADR Index Fund,23.89,17917500,n/a
67,ADSK,"Autodesk, Inc.",115.57,25456236618.54,Technology
68,ADTN,"ADTRAN, Inc.",16.2,780023374.2,Public Utilities
69,ADUS,Addus HomeCare Corporation,37,430371383,Health Care
70,ADVM,"Adverum Biotechnologies, Inc.",7.7,346819303.6,Health Care
71,ADXS,"Advaxis, Inc.",2.93,121020684.84,Health Care
72,ADXSW,"Advaxis, Inc.",0.7,0,Health Care
73,AEGN,Aegion Corp,25.12,817073743.52,Basic Industries
74,AEHR,Aehr Test Systems,2.57,56031235.09,Capital Goods
75,AEIS,"Advanced Energy Industries, Inc.",72.82,2887845678.3,Capital Goods
76,AEMD,"Aethlon Medical, Inc.",1.471,22206020.357,Capital Goods
77,AERI,"Aerie Pharmaceuticals, Inc.",57.15,2241579190.95,Health Care
78,AETI,"American Electric Technologies, Inc.",1.449,12562322.85,Energy
79,AEY,"ADDvantage Technologies Group, Inc.",1.52,15543512.4,Consumer Services
80,AEZS,AEterna Zentaris Inc.,2.18,35840856.8,Health Care
81,AFAM,Almost Family Inc,57,796172067,Health Care
82,AFH,"Atlas Financial Holdings, Inc.",19.7,237004849.1,Finance
83,AFHBL,"Atlas Financial Holdings, Inc.",27.4398,0,Finance
84,AFMD,Affimed N.V.,1.85,82642023.4,Health Care
85,AFSI,"AmTrust Financial Services, Inc.",13.21,2589511055.75,Finance
86,AGEN,Agenus Inc.,3.6,360658490.4,Health Care
87,AGFS,"AgroFresh Solutions, Inc.",7.55,380047234.1,Finance
88,AGFSW,"AgroFresh Solutions, Inc.",0.47,0,Finance
89,AGII,"Argo Group International Holdings, Ltd.",61.25,1817952858.75,Finance
90,AGIIL,"Argo Group International Holdings, Ltd.",25.32,0,Finance
91,AGIO,"Agios Pharmaceuticals, Inc.",79.05,4403681195.1,Health Care
92,AGLE,"Aeglea BioTherapeutics, Inc.",7,116510261,Health Care
93,AGNC,AGNC Investment Corp.,18.81,7360275314.7,Consumer Services
94,AGNCB,AGNC Investment Corp.,25.62,8876051126.46,Consumer Services
95,AGNCN,AGNC Investment Corp.,25.43,0,Consumer Services
96,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,43.99,17596000,n/a
97,AGRX,"Agile Therapeutics, Inc.",3.26,111447474.92,Health Care
98,AGTC,Applied Genetic Technologies Corporation,4.55,82331799.55,Health Care
99,AGYS,"Agilysys, Inc.",12.55,292580107.8,Technology
100,AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,48.305,24152500,n/a
101,AHGP,"Alliance Holdings GP, L.P.",29.45,1762965350,Energy
102,AHPA,Avista Healthcare Public Acquisition Corp.,9.95,385562500,Health Care
103,AHPAU,Avista Healthcare Public Acquisition Corp.,10.45,0,Health Care
104,AHPAW,Avista Healthcare Public Acquisition Corp.,0.4,0,Health Care
105,AHPI,"Allied Healthcare Products, Inc.",2.06,8267886.22,Health Care
106,AIA,iShares Asia 50 ETF,71,852000000,n/a
107,AIMC,Altra Industrial Motion Corp.,51.8,1516463751.6,Capital Goods
108,AIMT,"Aimmune Therapeutics, Inc.",35.95,1839331815.45,Health Care
109,AINV,Apollo Investment Corporation,5.82,1271335664.28,n/a
110,AIRG,"Airgain, Inc.",9.7,92913758.6,Technology
111,AIRR,First Trust RBA American Industrial Renaissance ETF,27.62,219579055.24,n/a
112,AIRT,"Air T, Inc.",29.01,59261308.89,Transportation
113,AKAM,"Akamai Technologies, Inc.",67.56,11427891419.28,Miscellaneous
114,AKAO,"Achaogen, Inc.",11.145,472476772.305,Health Care
115,AKBA,"Akebia Therapeutics, Inc.",14.94,706201145.82,Health Care
116,AKCA,"Akcea Therapeutics, Inc.",21.85,1453934593.65,Health Care
117,AKER,Akers Biosciences Inc,0.3637,11427654.7624,Health Care
118,AKRX,"Akorn, Inc.",32.57,4073550125.97,Health Care
119,AKTS,"Akoustis Technologies, Inc.",5.94,130734214.38,Public Utilities
120,AKTX,Akari Therapeutics Plc,2.48,29086374.96,Health Care
121,ALBO,"Albireo Pharma, Inc.",34.77,388205346.27,Health Care
122,ALCO,"Alico, Inc.",26.75,220536549.75,Consumer Non-Durables
123,ALDR,"Alder BioPharmaceuticals, Inc.",14.2,963369776.4,Health Care
124,ALDX,"Aldeyra Therapeutics, Inc.",7.5,143382570,Health Care
125,ALGN,"Align Technology, Inc.",255.57,20491015811.28,Health Care
126,ALGT,Allegiant Travel Company,166.8,2681795221.2,Transportation
127,ALIM,"Alimera Sciences, Inc.",1.2,82978012.8,Health Care
128,ALJJ,"ALJ Regional Holdings, Inc.",3.09,116249248.44,Miscellaneous
129,ALKS,Alkermes plc,58.33,8969749996.9,Health Care
130,ALLT,Allot Communications Ltd.,4.93,163253893.4,Technology
131,ALNA,"Allena Pharmaceuticals, Inc.",8.23,170116190.42,Health Care
132,ALNY,"Alnylam Pharmaceuticals, Inc.",129.43,12835678197.16,Health Care
133,ALOG,Analogic Corporation,85.65,1069318066.65,Capital Goods
134,ALOT,"AstroNova, Inc.",13.4,90598726.6,Technology
135,ALPN,"Alpine Immune Sciences, Inc.",11.51,159777733.95,Health Care
136,ALQA,"Alliqua BioMedical, Inc.",2.1,10470671.4,Health Care
137,ALRM,"Alarm.com Holdings, Inc.",38.2,1800763776.6,Technology
138,ALRN,"Aileron Therapeutics, Inc.",9.25,136148779.75,Health Care
139,ALSK,"Alaska Communications Systems Group, Inc.",2.22,232866979.92,Public Utilities
140,ALT,"Altimmune, Inc.",1.63,25513803.2,Health Care
141,ALTR,Altair Engineering Inc.,27.49,1729194453.28,Technology
142,ALTY,Global X SuperDividend Alternatives ETF,15.285,0,n/a
143,ALXN,"Alexion Pharmaceuticals, Inc.",118.09,26382444859.96,Health Care
144,AMAG,"AMAG Pharmaceuticals, Inc.",14.65,518234095.65,Health Care
145,AMAT,"Applied Materials, Inc.",53.28,56132194177.44,Technology
146,AMBA,"Ambarella, Inc.",49.74,1656665707.92,Technology
147,AMBC,"Ambac Financial Group, Inc.",16.35,739856564.1,Finance
148,AMBCW,"Ambac Financial Group, Inc.",6.68,0,Finance
149,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,28.03,9810500,n/a
150,AMCN,AirMedia Group Inc,1.19,53761521.31,Technology
151,AMCX,AMC Networks Inc.,52.56,3251542406.4,Consumer Services
152,AMD,"Advanced Micro Devices, Inc.",13.25,12783581489.75,Technology
153,AMDA,Amedica Corporation,3.11,9558317.54,Health Care
154,AMED,Amedisys Inc,52.36,1776925926.16,Health Care
155,AMEH,"Apollo Medical Holdings, Inc.",17.74,107034201.3,Consumer Services
156,AMGN,Amgen Inc.,185.56,134699966297,Health Care
157,AMKR,"Amkor Technology, Inc.",10.04,2402367224.16,Technology
158,AMMA,"Alliance MMA, Inc.",0.8263,10463415.4162,Consumer Services
159,AMNB,"American National Bankshares, Inc.",37.75,326437273.75,Finance
160,AMOT,"Allied Motion Technologies, Inc.",34.91,330003147.79,Capital Goods
161,AMOV,"America Movil, S.A.B. de C.V.",19.112,63124079539.592,Public Utilities
162,AMPH,"Amphastar Pharmaceuticals, Inc.",18.94,870780629.24,Health Care
163,AMRB,American River Bankshares,15.2,93211902.4,Finance
164,AMRH,"Ameri Holdings, Inc.",2.4,38054997.6,Technology
165,AMRHW,"Ameri Holdings, Inc.",0.6862,0,Technology
166,AMRK,"A-Mark Precious Metals, Inc.",13.37,94010486.5,Basic Industries
167,AMRN,Amarin Corporation plc,3.8,1021517387,Health Care
168,AMRS,"Amyris, Inc.",4.93,212155894.5,Basic Industries
169,AMSC,American Superconductor Corporation,5.34,111740258.28,Consumer Durables
170,AMSF,"AMERISAFE, Inc.",60.95,1172923201.85,Finance
171,AMSWA,"American Software, Inc.",12.66,381734979.72,Technology
172,AMTD,TD Ameritrade Holding Corporation,57.57,32654854133.46,Finance
173,AMTX,"Aemetis, Inc",0.6997,13870126.5114,Basic Industries
174,AMWD,American Woodmark Corporation,137.15,2400574852,Basic Industries
175,AMZN,"Amazon.com, Inc.",1390,669802323250,Consumer Services
176,ANAB,"AnaptysBio, Inc.",105.5,2479005240,Health Care
177,ANAT,American National Insurance Company,126.87,3416848123.08,Finance
178,ANCB,Anchor Bancorp,24.8001,61874761.494,Finance
179,ANCX,Access National Corporation,29.69,607241464.63,Finance
180,ANDA,Andina Acquisition Corp. II,10.31,42785788.61,Finance
181,ANDAR,Andina Acquisition Corp. II,1.3689,0,Finance
182,ANDAU,Andina Acquisition Corp. II,16.04,0,Finance
183,ANDAW,Andina Acquisition Corp. II,1.85,0,Finance
184,ANDE,"The Andersons, Inc.",34,965600000,Consumer Services
185,ANGI,ANGI Homeservices Inc.,13.41,6402064814.55,Consumer Services
186,ANGO,"AngioDynamics, Inc.",17.7,650394022.5,Health Care
187,ANIK,Anika Therapeutics Inc.,66.3,972075284.7,Health Care
188,ANIP,"ANI Pharmaceuticals, Inc.",66.94,780112266.82,Health Care
189,ANSS,"ANSYS, Inc.",163.4,13866201288.2,Technology
190,ANTH,"Anthera Pharmaceuticals, Inc.",1.6,34360670.4,Health Care
191,ANY,Sphere 3D Corp.,2.32,16491144.64,Technology
192,AOBC,American Outdoor Brands Corporation,11.45,619607486.95,Capital Goods
193,AOSL,Alpha and Omega Semiconductor Limited,16.72,399190852.72,Technology
194,APDN,Applied DNA Sciences Inc,1.57,47275929.49,Consumer Services
195,APDNW,Applied DNA Sciences Inc,0.35,0,Consumer Services
196,APEI,"American Public Education, Inc.",25.35,412389084.9,Consumer Services
197,APEN,"Apollo Endosurgery, Inc.",6.3,108929186.1,Health Care
198,APLP,"Archrock Partners, L.P.",13.87,973481845.02,Public Utilities
199,APLS,"Apellis Pharmaceuticals, Inc.",16.42,826486775.84,Health Care
200,APOG,"Apogee Enterprises, Inc.",45.35,1288727548.1,Capital Goods
201,APOP,Cellect Biotechnology Ltd.,8.4,50001940.8,n/a
202,APOPW,Cellect Biotechnology Ltd.,2.1,0,n/a
203,APPF,"AppFolio, Inc.",42.85,1454632549.4,Technology
204,APPN,Appian Corporation,29.8,1797037624.8,Technology
205,APPS,"Digital Turbine, Inc.",2.04,146973717.6,Miscellaneous
206,APRI,"Apricus Biosciences, Inc.",2.27,34539223.59,Health Care
207,APTI,"Apptio, Inc.",26.17,1056966914.15,Technology
208,APTO,"Aptose Biosciences, Inc.",2.93,79445370.73,Health Care
209,APVO,Aptevo Therapeutics Inc.,3.37,72213937.16,Health Care
210,APWC,Asia Pacific Wire & Cable Corporation Limited,2.8,38695073.2,Basic Industries
211,AQB,"AquaBounty Technologies, Inc.",2.68,23838851.92,n/a
212,AQMS,"Aqua Metals, Inc.",1.79,36520943.98,Basic Industries
213,AQXP,"Aquinox Pharmaceuticals, Inc.",13.03,305748037.9,Health Care
214,ARAY,Accuray Incorporated,5.8,486728622.4,Health Care
215,ARCB,ArcBest Corporation,37.6,963945560,Transportation
216,ARCC,Ares Capital Corporation,16.03,6833575614.95,n/a
217,ARCI,"Appliance Recycling Centers of America, Inc.",0.98,6737857.7,Consumer Services
218,ARCT,Arcturus Therapeutics Ltd.,7.31,77258666.31,n/a
219,ARCW,"ARC Group Worldwide, Inc.",2.05,37461634.4,Capital Goods
220,ARDM,Aradigm Corporation,1.33,20147023.54,Health Care
221,ARDX,"Ardelyx, Inc.",7,332744853,Health Care
222,AREX,Approach Resources Inc.,3.4,294150167,Energy
223,ARGS,"Argos Therapeutics, Inc.",2.13,471620.34,Health Care
224,ARGX,argenx SE,75.52,542266224.64,Health Care
225,ARII,"American Railcar Industries, Inc.",39.45,752858987.1,Capital Goods
226,ARKR,Ark Restaurants Corp.,25.4454,87447722.7174,Consumer Services
227,ARLP,"Alliance Resource Partners, L.P.",20.9,2731718135.3,Energy
228,ARLZ,Aralez Pharmaceuticals Inc.,1.74,114792162.18,Health Care
229,ARMO,"ARMO BioSciences, Inc.",30.09,880905752.82,Health Care
230,ARNA,"Arena Pharmaceuticals, Inc.",38.79,1523025501.66,Health Care
231,AROW,Arrow Financial Corporation,33.4,464938754.8,Finance
232,ARQL,"ArQule, Inc.",1.65,143731833.3,Health Care
233,ARRS,ARRIS International plc,25.79,4823277547.49,Technology
234,ARRY,Array BioPharma Inc.,15.34,3022400193.28,Health Care
235,ARTNA,Artesian Resources Corporation,36.67,337109106.83,Public Utilities
236,ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.65,11020692.8,Capital Goods
237,ARTX,Arotech Corporation,3.7,97661677.6,Miscellaneous
238,ARWR,"Arrowhead Pharmaceuticals, Inc.",6.15,533743530.9,Health Care
239,ASCMA,"Ascent Capital Group, Inc.",9.08,111929150.92,Consumer Services
240,ASET,FlexShares Real Assets Allocation Index Fund,29,10150029,n/a
241,ASFI,"Asta Funding, Inc.",7.2,47691468,Finance
242,ASMB,"Assembly Biosciences, Inc.",45.8,796816079.8,Health Care
243,ASML,ASML Holding N.V.,201.42,14480494495.38,Technology
244,ASNA,"Ascena Retail Group, Inc.",2.11,413643737.46,Consumer Services
245,ASND,Ascendis Pharma A/S,50.28,1610022165,Health Care
246,ASNS,"Arsanis, Inc.",12.7,173918664.1,Health Care
247,ASPS,Altisource Portfolio Solutions S.A.,28.15,504018402.85,Consumer Services
248,ASPU,Aspen Group Inc.,7.72,114381102.6,Consumer Services
249,ASRV,AmeriServ Financial Inc.,4.15,75232225.05,Finance
250,ASRVP,AmeriServ Financial Inc.,28,0,Finance
251,ASTC,Astrotech Corporation,3.1,13970066.3,Capital Goods
252,ASTE,"Astec Industries, Inc.",62.86,1450164359.28,Capital Goods
253,ASUR,Asure Software Inc,15.01,187126968.2,Technology
254,ASV,"ASV Holdings, Inc.",8.35,81830000,Capital Goods
255,ASYS,"Amtech Systems, Inc.",9.99,148792348.71,Technology
256,ATAC,Atlantic Acquisition Corp.,9.82,57667920.54,Finance
257,ATACR,Atlantic Acquisition Corp.,0.49,0,Finance
258,ATACU,Atlantic Acquisition Corp.,10.2799,0,Finance
259,ATAI,ATA Inc.,4.76,60698391.88,Consumer Services
260,ATAX,"America First Multifamily Investors, L.P.",6.25,376580800,Finance
261,ATEC,"Alphatec Holdings, Inc.",3.24,54186019.2,Health Care
262,ATHN,"athenahealth, Inc.",124.91,4998609532.99,Miscellaneous
263,ATHX,"Athersys, Inc.",1.76,208619422.88,Health Care
264,ATLC,Atlanticus Holdings Corporation,2.28,34946027.4,Finance
265,ATLO,Ames National Corporation,28.15,262102200.95,Finance
266,ATNI,"ATN International, Inc.",58.87,942895240.42,Public Utilities
267,ATNX,"Athenex, Inc.",14.68,851370475.52,Health Care
268,ATOM,Atomera Incorporated,6.15,74787917.55,Technology
269,ATOS,Atossa Genetics Inc.,0.7088,22555958.8208,Health Care
270,ATRA,"Atara Biotherapeutics, Inc.",35.95,1099921382.7,Health Care
271,ATRC,"AtriCure, Inc.",16.5,568822963.5,Health Care
272,ATRI,Atrion Corporation,567.5,1050920335,Health Care
273,ATRO,Astronics Corporation,44.55,1247499168.3,Capital Goods
274,ATRS,"Antares Pharma, Inc.",2.09,327449713.36,Health Care
275,ATSG,"Air Transport Services Group, Inc",24.61,1454970566.32,Transportation
276,ATTU,Attunity Ltd.,6.73,133282521.74,Technology
277,ATVI,"Activision Blizzard, Inc",73.35,55459895024.25,Technology
278,ATXI,"Avenue Therapeutics, Inc.",3.8,39007661.2,Health Care
279,AUBN,"Auburn National Bancorporation, Inc.",37.6264,137098109.6352,Finance
280,AUDC,AudioCodes Ltd.,7.68,248918753.28,Public Utilities
281,AUPH,Aurinia Pharmaceuticals Inc,5.175,434967847.65,Health Care
282,AUTO,"AutoWeb, Inc.",8.24,107506736.16,Technology
283,AVAV,"AeroVironment, Inc.",52.45,1251991045.9,Capital Goods
284,AVDL,Avadel Pharmaceuticals plc,10.18,418301615.76,Health Care
285,AVEO,"AVEO Pharmaceuticals, Inc.",3.08,364429791.88,Health Care
286,AVGO,Broadcom Limited,238.79,93343144722.4,Technology
287,AVGR,"Avinger, Inc.",6.2695,5147259.5,Health Care
288,AVHI,"A V Homes, Inc.",16.9,379501144.1,Capital Goods
289,AVID,"Avid Technology, Inc.",5.09,209637350.8,Technology
290,AVIR,"Aviragen Therapeutics, Inc.",0.593,22918997.541,Health Care
291,AVNW,"Aviat Networks, Inc.",16.25,86421042.5,Technology
292,AVXL,Anavex Life Sciences Corp.,2.69,118954040.77,Health Care
293,AVXS,"AveXis, Inc.",118.77,3797839165.86,Health Care
294,AWRE,"Aware, Inc.",4.5472,98276773.7952,Technology
295,AXAS,Abraxas Petroleum Corporation,2.46,408089156.46,Energy
296,AXDX,"Accelerate Diagnostics, Inc.",29.1,1612069083.3,Capital Goods
297,AXGN,"AxoGen, Inc.",28.05,961023602.55,Health Care
298,AXON          ,Axovant Sciences Ltd.,2.03,218651624.8,Health Care
299,AXSM,"Axsome Therapeutics, Inc.",2.8,71273686.4,Health Care
300,AXTI,AXT Inc,7.95,309186184.8,Technology
301,AY,Atlantica Yield plc,20.98,2102558114.8,Public Utilities
302,AYTU,"Aytu BioScience, Inc.",2.72,11975175.36,Health Care
303,AZPN,"Aspen Technology, Inc.",77.52,5576705466,Technology
304,AZRX,"AzurRx BioPharma, Inc.",3.3,38326681.8,Health Care
305,BABY,Natus Medical Incorporated,30.85,961105558.35,Health Care
306,BAND,Bandwidth Inc.,23.61,416039365.2,Technology
307,BANF,BancFirst Corporation,56,1786095528,Finance
308,BANFP,BancFirst Corporation,27.505,27505000,Finance
309,BANR,Banner Corporation,55.16,1815122650.32,Finance
310,BANX,StoneCastle Financial Corp,21.29,139285332.81,n/a
311,BASI,"Bioanalytical Systems, Inc.",2.11,17395264.11,Health Care
312,BATRA,Liberty Media Corporation,23.77,0,Consumer Services
313,BATRK,Liberty Media Corporation,23.69,1171876143.87,Consumer Services
314,BBBY,Bed Bath & Beyond Inc.,22.71,3234194211.09,Consumer Services
315,BBC,Virtus LifeSci Biotech Clinical Trials ETF,32.418,32418129.672,n/a
316,BBGI,"Beasley Broadcast Group, Inc.",13,362804000,Consumer Services
317,BBH,VanEck Vectors Biotech ETF,129.61,602233253.83,n/a
318,BBOX,Black Box Corporation,3.3,49954436.4,Technology
319,BBP,Virtus LifeSci Biotech Products ETF,43.3799,43380073.5196,n/a
320,BBRG,"Bravo Brio Restaurant Group, Inc.",3.4,51695823.6,Consumer Services
321,BBSI,"Barrett Business Services, Inc.",69.58,507959118.38,Technology
322,BCAC,Bison Capital Acquisition Corp.,9.88,78831897.56,Finance
323,BCACR,Bison Capital Acquisition Corp.,0.41,0,Finance
324,BCACU,Bison Capital Acquisition Corp.,10.6047,0,Finance
325,BCACW,Bison Capital Acquisition Corp.,0.379,0,Finance
326,BCBP,"BCB Bancorp, Inc. (NJ)",15.35,230736456.85,Finance
327,BCLI,Brainstorm Cell Therapeutics Inc.,3.45,65007404.7,Health Care
328,BCOM,B Communications Ltd.,19.2118,574432820,Consumer Services
329,BCOR,"Blucora, Inc.",24.2,1116248958,Finance
330,BCOV,Brightcove Inc.,6.8,235502210.4,Technology
331,BCPC,Balchem Corporation,78.71,2519053494.27,Basic Industries
332,BCRX,"BioCryst Pharmaceuticals, Inc.",4.5,442947906,Health Care
333,BCTF,"Bancorp 34, Inc.",15.05,51831026.1,Finance
334,BDGE,"Bridge Bancorp, Inc.",33.8,666197053.6,Finance
335,BDSI,"BioDelivery Sciences International, Inc.",2.3,132198974.5,Health Care
336,BEAT,"BioTelemetry, Inc.",33.15,1074329111.7,Health Care
337,BECN,"Beacon Roofing Supply, Inc.",61.75,4197074758.5,Consumer Services
338,BELFA,Bel Fuse Inc.,18.41,221540674.74,Capital Goods
339,BELFB,Bel Fuse Inc.,20.8,250301251.2,Capital Goods
340,BFIN,BankFinancial Corporation,16.14,291317687.22,Finance
341,BFIT,Global X Health & Wellness Thematic ETF,17.5,0,n/a
342,BGCP,"BGC Partners, Inc.",14.45,4173990123.6,Finance
343,BGFV,Big 5 Sporting Goods Corporation,5.75,123204462.25,Consumer Services
344,BGNE,"BeiGene, Ltd.",138.92,3602468994.56,Health Care
345,BHAC,Barington/Hilco Acquisition Corp.,10.53,29315941.2,Finance
346,BHACR,Barington/Hilco Acquisition Corp.,0.21,0,Finance
347,BHACU,Barington/Hilco Acquisition Corp.,10.4,0,Finance
348,BHACW,Barington/Hilco Acquisition Corp.,0.233,0,Finance
349,BHBK,"Blue Hills Bancorp, Inc.",19.5,523139370,Finance
350,BHF,"Brighthouse Financial, Inc.",64.09,7676258363.54,Finance
351,BIB,ProShares Ultra Nasdaq Biotechnology,63.64,448662000,n/a
352,BICK,First Trust BICK Index Fund,32.7699,257243780.5398,n/a
353,BIDU,"Baidu, Inc.",240.53,67525531102.6,Technology
354,BIIB,Biogen Inc.,346,73171019856,Health Care
355,BIOC,"Biocept, Inc.",0.3365,10182067.0195,Health Care
356,BIOL,"Biolase, Inc.",0.45,46044934.2,Health Care
357,BIOS,"BioScrip, Inc.",2.81,358318760.13,Health Care
358,BIS,ProShares UltraShort Nasdaq Biotechnology,19.11,33155811.78,n/a
359,BIVV,Bioverativ Inc.,103.52,11203254380.32,Health Care
360,BJRI,"BJ&#39;s Restaurants, Inc.",38.15,787163981.1,Consumer Services
361,BKCC,BlackRock Capital Investment Corporation,5.95,435372204.05,n/a
362,BKEP,"Blueknight Energy Partners L.P., L.L.C.",5.5,220772227.5,Energy
363,BKEPP,"Blueknight Energy Partners L.P., L.L.C.",7.55,227697573.45,Energy
364,BKMU,Bank Mutual Corporation,10.4,478914394.4,Finance
365,BKSC,Bank of South Carolina Corp.,19.3,96200444.7,Finance
366,BKYI,"BIO-key International, Inc.",1.93,14844255.32,Technology
367,BL,"BlackLine, Inc.",33.22,1758557871.62,Technology
368,BLBD,Blue Bird Corporation,21.15,505165106.25,Capital Goods
369,BLCM,"Bellicum Pharmaceuticals, Inc.",5.87,195208499.47,Health Care
370,BLCN,Reality Shares Nasdaq NextGen Economy ETF,24.37,99917024.37,n/a
371,BLDP,"Ballard Power Systems, Inc.",3.56,633903094.52,Energy
372,BLDR,"Builders FirstSource, Inc.",21.9,2473414557.6,Consumer Services
373,BLFS,"BioLife Solutions, Inc.",5.33,74734179.26,Health Care
374,BLIN          ,"Bridgeline Digital, Inc.",2.2889,9613881.2691,Technology
375,BLKB,"Blackbaud, Inc.",95.8,4606983201,Technology
376,BLMN,"Bloomin&#39; Brands, Inc.",22.36,2040788099.48,Consumer Services
377,BLMT,"BSB Bancorp, Inc.",30.75,298729331.25,Finance
378,BLPH,"Bellerophon Therapeutics, Inc.",2.32,128017108.16,Health Care
379,BLRX,BioLineRx Ltd.,1.07,84380588.41,Health Care
380,BLUE,"bluebird bio, Inc.",205.25,10139350000,Health Care
381,BMCH,"BMC Stock Holdings, Inc.",22.35,1498285979.4,Consumer Services
382,BMLP,BMO Elkhorn DWA MLP Select Index ETN,50.17,50170000,Finance
383,BMRA,"Biomerica, Inc.",4.13,35274528.24,Health Care
